id,room_id,property_name,location,description,property_type,num_rooms,num_bathrooms,size,amenities,price,agent_name,phone,email,website,image_gallery
0,1,VECTOR Office,"#11, Third Floor, Al-Hameed Mall, G-11 Markaz",Premium office space for startups,Commercial Office,2,1,358,"Kitchenette, Balcony, Security","67,000/Mo",Rizwan Akbar,0314-5258971,rizw@kk.com.pk,vector-ai.co,
1,1,Landkrafts Office,"#13/14, Second Floor, Al-Hameed Mall, G-11 Markaz",Premium office space for property dealers,Commercial Office,1,2,718,"Kitchenette, Balcony, Security","150,000/Mo",Arshad Khan,0310-3309821,arshad@enterprise.com,enterprise.com,
2,1,Seminar Room,"C-401, Fourth Floor, FAST NUCES, Islamabad",Spacious room for workshops and seminars,Seminar Hall,1,0,749,"Balcony, Projector, Air Conditioning",,Admin NU FAST ,-,help@nu.edu.pk,nu.edu.pk,
2,2,Seminar Room,"C-403, Fourth Floor, FAST NUCES, Islamabad","Spacious room for workshops, seminars and lectures",Seminar Hall,1,0,694,"Projector, Air Conditioning",,Admin NU FAST ,-,help@nu.edu.pk,nu.edu.pk,
3,1,Auditorium,"Ground Floor, A-Block, FAST NUCES, Islamabad",High-class space for your mega events,Seminar Hall,1,0,3160,"Projector, Air Conditioning, Mobility Support",,Admin NU FAST,-,help@nu.edu.pk,nu.edu.pk,
5,1,a,s,e,d,1,1,1,2,1,1,2,temp@gmail.com,https://abc.com,[]
6,1,a,s,e,d,1,7,1,7,1,7,7,temp@gmail.com,https://abc.com,[]
7,1,a,s,e,d,1,7,1,7,1,7,7,temp@gmail.com,https://abc.com,[]
8,1,a,s,e,d,1,7,1,7,1,7,7,temp@gmail.com,https://abc.com,[]
9,1,a,s,e,d,1,7,1,7,1,7,7,temp@gmail.com,https://abc.com,[]
